,network,betac_dmp,betac_mc,alpha
0,bio-dmela,0.04188284665238725,0.04188284665238725,0.0
1,bio-dmela,0.04188284665238725,0.04188284665238725,0.05
2,bio-dmela,0.04188284665238725,0.04188284665238725,0.1
3,bio-dmela,0.04188284665238725,0.04188284665238725,0.15000000000000002
4,bio-dmela,0.04188284665238725,0.04188284665238725,0.2
5,bio-dmela,0.04188284665238725,0.04188284665238725,0.25
6,bio-dmela,0.04188284665238725,0.04188284665238725,0.30000000000000004
7,bio-dmela,0.04188284665238725,0.04188284665238725,0.35000000000000003
8,bio-dmela,0.04188284665238725,0.04188284665238725,0.4
9,bio-dmela,0.04188284665238725,0.04188284665238725,0.45
10,bio-dmela,0.04188284665238725,0.04188284665238725,0.5
11,bio-dmela,0.04188284665238725,0.04188284665238725,0.55
12,bio-dmela,0.04188284665238725,0.04188284665238725,0.6000000000000001
13,bio-dmela,0.04188284665238725,0.04188284665238725,0.65
14,bio-dmela,0.04188284665238725,0.04188284665238725,0.7000000000000001
15,bio-dmela,0.04188284665238725,0.04188284665238725,0.75
16,bio-dmela,0.04188284665238725,0.04188284665238725,0.8
17,bio-dmela,0.04188284665238725,0.04188284665238725,0.8500000000000001
18,bio-dmela,0.04188284665238725,0.03188284665238725,0.9
19,bio-dmela,0.04188284665238725,0.03188284665238725,0.9500000000000001
20,bio-dmela,0.04188284665238725,0.04188284665238725,1.0
21,bio-yeast-protein-inter,0.19800849676730392,0.23800849676730393,0.0
22,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.05
23,bio-yeast-protein-inter,0.19800849676730392,0.2880084967673039,0.1
24,bio-yeast-protein-inter,0.19800849676730392,0.22800849676730392,0.15000000000000002
25,bio-yeast-protein-inter,0.19800849676730392,0.2680084967673039,0.2
26,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.25
27,bio-yeast-protein-inter,0.19800849676730392,0.2580084967673039,0.30000000000000004
28,bio-yeast-protein-inter,0.19800849676730392,0.23800849676730393,0.35000000000000003
29,bio-yeast-protein-inter,0.19800849676730392,0.2580084967673039,0.4
30,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.45
31,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.5
32,bio-yeast-protein-inter,0.19800849676730392,0.22800849676730392,0.55
33,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.6000000000000001
34,bio-yeast-protein-inter,0.19800849676730392,0.2580084967673039,0.65
35,bio-yeast-protein-inter,0.19800849676730392,0.22800849676730392,0.7000000000000001
36,bio-yeast-protein-inter,0.19800849676730392,0.22800849676730392,0.75
37,bio-yeast-protein-inter,0.19800849676730392,0.2480084967673039,0.8
38,bio-yeast-protein-inter,0.19800849676730392,0.23800849676730393,0.8500000000000001
39,bio-yeast-protein-inter,0.19800849676730392,0.22800849676730392,0.9
40,bio-yeast-protein-inter,0.19800849676730392,0.23800849676730393,0.9500000000000001
41,bio-yeast-protein-inter,0.19800849676730392,0.23800849676730393,1.0
42,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.0
43,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.05
44,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.1
45,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.15000000000000002
46,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.2
47,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.25
48,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.30000000000000004
49,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.35000000000000003
50,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.4
51,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.45
52,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.5
53,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.55
54,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.6000000000000001
55,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.65
56,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.7000000000000001
57,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.75
58,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.8
59,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.8500000000000001
60,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.9
61,ca-AstroPh,0.010806176794943322,0.010806176794943322,0.9500000000000001
62,ca-AstroPh,0.010806176794943322,0.010806176794943322,1.0
